fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
07.kwi;0.7;0;01.wrz;0.076;11;34;0.9978;mar.51;0.56;09.kwi;5
07.sie;0.88;0;02.cze;0.098;25;67;0.9968;03.lut;0.68;09.sie;5
07.sie;0.76;0.04;02.mar;0.092;15;54;0.997;mar.26;0.65;09.sie;5
11.lut;0.28;0.56;01.wrz;0.075;17;60;0.998;mar.16;0.58;09.sie;6
07.kwi;0.7;0;01.wrz;0.076;11;34;0.9978;mar.51;0.56;09.kwi;5
07.kwi;0.66;0;01.sie;0.075;13;40;0.9978;mar.51;0.56;09.kwi;5
07.wrz;0.6;0.06;01.cze;0.069;15;59;0.9964;03.mar;0.46;09.kwi;5
07.mar;0.65;0;01.lut;0.065;15;21;0.9946;mar.39;0.47;10;7
07.sie;0.58;0.02;2;0.073;9;18;0.9968;mar.36;0.57;09.maj;7
07.maj;0.5;0.36;06.sty;0.071;17;102;0.9978;mar.35;0.8;10.maj;5
06.lip;0.58;0.08;01.sie;0.097;15;65;0.9959;mar.28;0.54;09.lut;5
07.maj;0.5;0.36;06.sty;0.071;17;102;0.9978;mar.35;0.8;10.maj;5
05.cze;0.615;0;01.cze;0.089;16;59;0.9943;mar.58;0.52;09.wrz;5
07.sie;0.61;0.29;01.cze;0.114;9;29;0.9974;mar.26;0.56;09.sty;5
08.wrz;0.62;0.18;03.sie;0.176;52;145;0.9986;mar.16;0.88;09.lut;5
08.wrz;0.62;0.19;03.wrz;0.17;51;148;0.9986;mar.17;0.93;09.lut;5
08.maj;0.28;0.56;01.sie;0.092;35;103;0.9969;03.mar;0.75;10.maj;7
08.sty;0.56;0.28;01.lip;0.368;16;56;0.9968;03.lis;0.28;09.mar;5
07.kwi;0.59;0.08;04.kwi;0.086;6;29;0.9974;mar.38;0.5;9;4
07.wrz;0.32;0.51;01.sie;0.341;17;56;0.9969;03.kwi;0.20;09.lut;6
08.wrz;0.22;0.48;01.sie;0.077;29;60;0.9968;mar.39;0.53;09.kwi;6
07.cze;0.39;0.31;02.mar;0.082;23;71;0.9982;mar.52;0.65;09.lip;5
07.wrz;0.43;0.21;01.cze;0.106;10;37;0.9966;mar.17;0.91;09.maj;5
08.maj;0.49;0.11;02.mar;0.084;9;67;0.9968;mar.17;0.53;09.kwi;5
06.wrz;0.4;0.14;02.kwi;0.085;21;40;0.9968;mar.43;0.63;09.lip;6
06.mar;0.39;0.16;01.kwi;0.08;11;23;0.9955;mar.34;0.56;09.mar;5
07.cze;0.41;0.24;01.sie;0.08;4;11;0.9962;mar.28;0.59;09.maj;5
07.wrz;0.43;0.21;01.cze;0.106;10;37;0.9966;mar.17;0.91;09.maj;5
